Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.5859,Sat Feb 03 08:58:00 +0000 2018,0.0,0.853,0.147,216
0.6249,Sat Feb 03 08:58:00 +0000 2018,0.0,0.805,0.195,217
-0.3818,Sat Feb 03 08:57:40 +0000 2018,0.098,0.902,0.0,218
0.5859,Sat Feb 03 08:57:31 +0000 2018,0.0,0.853,0.147,219
0.0,Sat Feb 03 08:57:22 +0000 2018,0.0,1.0,0.0,220
-0.5574,Sat Feb 03 08:57:14 +0000 2018,0.184,0.816,0.0,221
0.0,Sat Feb 03 08:57:12 +0000 2018,0.0,1.0,0.0,222
0.0,Sat Feb 03 08:57:07 +0000 2018,0.0,1.0,0.0,223
-0.296,Sat Feb 03 08:56:53 +0000 2018,0.128,0.872,0.0,224
-0.5574,Sat Feb 03 08:56:38 +0000 2018,0.159,0.841,0.0,225
0.0772,Sat Feb 03 08:56:38 +0000 2018,0.0,0.915,0.085,226
-0.3818,Sat Feb 03 08:56:22 +0000 2018,0.098,0.902,0.0,227
-0.296,Sat Feb 03 08:56:16 +0000 2018,0.078,0.922,0.0,228
-0.3612,Sat Feb 03 08:56:03 +0000 2018,0.213,0.627,0.16,229
-0.8155,Sat Feb 03 08:56:01 +0000 2018,0.332,0.668,0.0,230
0.0,Sat Feb 03 08:56:00 +0000 2018,0.0,1.0,0.0,231
0.0,Sat Feb 03 08:55:58 +0000 2018,0.0,1.0,0.0,232
0.0,Sat Feb 03 08:55:57 +0000 2018,0.0,1.0,0.0,233
-0.2732,Sat Feb 03 08:55:50 +0000 2018,0.259,0.741,0.0,234
0.4404,Sat Feb 03 08:55:45 +0000 2018,0.0,0.805,0.195,235
-0.4404,Sat Feb 03 08:55:43 +0000 2018,0.209,0.791,0.0,236
0.636,Sat Feb 03 08:55:39 +0000 2018,0.0,0.417,0.583,237
0.0258,Sat Feb 03 08:55:35 +0000 2018,0.127,0.742,0.131,238
-0.6908,Sat Feb 03 08:55:29 +0000 2018,0.235,0.684,0.081,239
0.0,Sat Feb 03 08:55:20 +0000 2018,0.0,1.0,0.0,240
-0.296,Sat Feb 03 08:55:17 +0000 2018,0.078,0.922,0.0,241
0.0,Sat Feb 03 08:55:17 +0000 2018,0.0,1.0,0.0,242
0.0,Sat Feb 03 08:55:15 +0000 2018,0.0,1.0,0.0,243
0.0,Sat Feb 03 08:55:10 +0000 2018,0.0,1.0,0.0,244
0.0,Sat Feb 03 08:55:08 +0000 2018,0.0,1.0,0.0,245
0.0,Sat Feb 03 08:54:56 +0000 2018,0.0,1.0,0.0,246
0.4939,Sat Feb 03 08:54:34 +0000 2018,0.0,0.652,0.348,247
